company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
INDUSINDBK,2022,+,-,-,Reinvestor
INDUSINDBK,2023,-,-,+,Growth Funded by Debt
INDUSINDBK,2024,-,-,-,Pre-Revenue
INFY,2013,+,-,-,Reinvestor
INFY,2014,+,-,-,Reinvestor
INFY,2015,+,+,-,Liquidating Assets
INFY,2016,+,-,-,Reinvestor
INFY,2017,+,-,-,Reinvestor
INFY,2018,+,+,-,Liquidating Assets
INFY,2019,+,-,-,Reinvestor
INFY,2020,+,-,-,Reinvestor
INFY,2021,+,-,-,Reinvestor
INFY,2022,+,-,-,Reinvestor
INFY,2023,+,-,-,Reinvestor
INFY,2024,+,-,-,Reinvestor
IOC,2013,+,-,+,Mixed
IOC,2014,+,-,-,Reinvestor
IOC,2015,+,-,-,Reinvestor
IOC,2016,+,-,-,Reinvestor
IOC,2017,+,-,-,Reinvestor
IOC,2018,+,-,-,Reinvestor
IOC,2019,+,-,+,Mixed
IOC,2020,+,-,+,Mixed
IOC,2021,+,-,-,Reinvestor
IOC,2022,+,-,-,Reinvestor
IOC,2023,+,-,-,Reinvestor
IOC,2024,+,-,-,Reinvestor
IRCTC,2015,+,-,-,Reinvestor
IRCTC,2016,+,+,-,Liquidating Assets
IRCTC,2017,+,+,-,Liquidating Assets
IRCTC,2018,+,+,-,Liquidating Assets
IRCTC,2019,+,-,-,Reinvestor
IRCTC,2020,+,+,-,Liquidating Assets
IRCTC,2021,+,-,-,Reinvestor
IRCTC,2022,+,-,-,Reinvestor
